date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:09	36824/36824	---M--	200	added ('OK')	image/jpeg	etag:%2269f09c5c-8fd8%22	https://powerupsolarengineering.com/images/bulb-img-2.jpg	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/images/bulb-img-2.jpg	(from https://powerupsolarengineering.com/index.html)
18:24:09	42580/42580	---M--	200	added ('OK')	image/jpeg	etag:%2269f09c5c-a654%22	https://powerupsolarengineering.com/images/bulb-img-3.jpg	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/images/bulb-img-3.jpg	(from https://powerupsolarengineering.com/index.html)
18:24:09	64704/64704	---M--	200	added ('OK')	image/jpeg	etag:%2269f09c5d-fcc0%22	https://powerupsolarengineering.com/images/category-img-1.jpg	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/images/category-img-1.jpg	(from https://powerupsolarengineering.com/index.html)
18:24:10	80047/80047	---M--	200	added ('OK')	image/jpeg	etag:%2269f09c5c-138af%22	https://powerupsolarengineering.com/images/category-img-2.jpg	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/images/category-img-2.jpg	(from https://powerupsolarengineering.com/index.html)
18:24:10	50670/50670	---M--	200	added ('OK')	image/jpeg	etag:%2269f09c5d-c5ee%22	https://powerupsolarengineering.com/images/category-img-3.jpg	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/images/category-img-3.jpg	(from https://powerupsolarengineering.com/index.html)
18:24:10	756/756	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2269f09c5d-2f4%22	https://powerupsolarengineering.com/images/solar/tata-power-solar-logo.svg	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/images/solar/tata-power-solar-logo.svg	(from https://powerupsolarengineering.com/index.html)
18:24:11	84345/84345	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269f09c5c-14979%22	https://powerupsolarengineering.com/js/jquery.js	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/js/jquery.js	(from https://powerupsolarengineering.com/index.html)
18:24:11	37045/37045	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269f09c5c-90b5%22	https://powerupsolarengineering.com/js/plugins/bootstrap.min.js	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/js/plugins/bootstrap.min.js	(from https://powerupsolarengineering.com/index.html)
18:24:11	29113/29113	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269f09c5c-71b9%22	https://powerupsolarengineering.com/js/plugins/jquery.nivo.slider.js	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/js/plugins/jquery.nivo.slider.js	(from https://powerupsolarengineering.com/index.html)
18:24:12	36990/36990	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269f09c5c-907e%22	https://powerupsolarengineering.com/js/plugins/slick.min.js	C:/Users/mohit/OneDrive/Desktop/https___powerupsolarengineering.com_index.html/powerupsolarengineering.com/js/plugins/slick.min.js	(from https://powerupsolarengineering.com/index.html)
